arxiv_id,title,abstract,your_rating,why_you_care
2401.00001,Multimodal LLMs for Medical Visual Question Answering,"We present a vision-language model for clinical image understanding and medical document analysis, achieving SOTA on 10 benchmarks.",5,VLM + healthcare + document understanding
2401.00002,Agentic Vision-Language Systems for Robot Navigation,An agent framework combining VLMs with tool use for autonomous robot navigation and task planning.,5,VLM + agents + robotics - all 3 interests
2401.00003,RAG-Enhanced Clinical Note Generation with Vision,Retrieval-augmented generation for producing structured clinical notes from multimodal patient data.,4,RAG + healthcare + document generation
2401.00004,Embodied Agents with Visual Reasoning and Planning,We train embodied AI agents that reason visually to perform long-horizon tasks in open environments.,5,Agents + VLM + embodied AI
2401.00005,Document Understanding with Multimodal Transformers,"A unified transformer for understanding complex documents combining text, tables, and images.",4,Document understanding + multimodal
2401.00006,Tool-Augmented LLMs for Healthcare Workflows,LLM agents that call external medical APIs to assist clinicians with diagnosis and treatment planning.,4,Agents + healthcare + tool use
2401.00007,Visual Instruction Tuning for Medical Imaging,Instruction tuning vision-language models on radiology reports improves diagnostic accuracy significantly.,5,VLM + healthcare + instruction tuning
2401.00008,Agentic Code Generation with Visual Understanding,Agents that generate and debug code by understanding visual outputs like charts and diagrams.,3,"Agents + VLM, but less relevant to healthcare"
2401.00009,Multimodal Chain-of-Thought Reasoning in Clinical Settings,Chain-of-thought prompting for multimodal models applied to clinical decision support.,5,VLM + healthcare + reasoning
2401.0001,Vision-Language Models for Robotic Manipulation,VLMs enable robots to understand natural language instructions and execute fine-grained manipulation tasks.,4,VLM + robotics + instruction following
2401.0002,Efficient Reasoning Models: A Survey,"Reasoning models have demonstrated remarkable progress in solving complex and logic intensive tasks by generating extended Chain-of-Thoughts (CoTs) prior to arriving at a final answer. Yet, the emergence of this �slow-thinking� paradigm, with numerous tokens generated in sequence, inevitably introduces substantial computational overhead. To this end, it highlights an urgent need for effective acceleration. This survey aims to provide a comprehensive overview of recent advances in efficient reasoning. It categorizes existing works into three key directions: (1) shorter� compressing lengthy CoTs into concise yet effective reasoning chains; (2) smaller� developing compact language models with strong reasoning capabilities through techniques such as knowledge distillation, other model com pression techniques, and reinforcement learning; and (3) faster� designing efficient decoding strategies to accelerate inference. A curated collection of papers discussed in this survey is available in our GitHub repository1",5,VLM +  reasoning 
2401.0003,Auto-Encoding Knowledge Graph for Unsupervised Medical Report Generation,"Medical report generation, which aims to automatically generate a long and coher ent report of a given medical image, has been receiving growing research interests. Existing approaches mainly adopt a supervised manner and heavily rely on cou pled image-report pairs. However, in the medical domain, building a large-scale image-report paired dataset is both time-consuming and expensive. To relax the dependency on paired data, we propose an unsupervised model Knowledge Graph Auto-Encoder (KGAE) which accepts independent sets of images and reports in training. KGAE consists of a pre-constructed knowledge graph, a knowledge driven encoder and a knowledge-driven decoder. The knowledge graph works as the shared latent space to bridge the visual and textual domains; The knowledge-driven encoder projects medical images and reports to the corresponding coordinates in this latent space and the knowledge-driven decoder generates a medical report given a coordinate in this space. Since the knowledge-driven encoder and decoder can be trained with independent sets of images and reports, KGAE is unsupervised. The experiments show that the unsupervised KGAE generates desirable medical reports without using any image-report training pairs. Moreover, KGAE can also work in both semi-supervised and supervised settings, and accept paired images and reports in training. By further fine-tuning with image-report pairs, KGAE consistently outperforms the current state-of-the-art models on two datasets.",5,VLM + medical report generation + Knoweldge graph
2401.0004,Large language models for efficient whole-organ MRI score-based reports and categorization in knee osteoarthritis,"Objectives To evaluate the performance of large language models (LLMs) in automatically generating whole-organ
MRI score (WORMS)-based structured MRI reports and predicting osteoarthritis (OA) severity for the knee.
Methods A total of 160 consecutive patients suspected of OA were included. Knee MRI reports were reviewed by
three radiologists to establish the WORMS reference standard for 39 key features. GPT-4o and GPT-4o-mini were
prompted using in-context knowledge (ICK) and chain-of-thought (COT) to generate WORMS-based structured reports
from original reports and to automatically predict the OA severity. Four Orthopedic surgeons reviewed original and
LLM-generated reports to conduct pairwise preference and difficulty tests, and their review times were recorded.
Results GPT-4o demonstrated perfect performance in extracting the laterality of the knee (accuracy = 100%). GPT-4o
outperformed GPT-4o mini in generating WORMS reports (Accuracy: 93.9% vs 76.2%, respectively). GPT-4o achieved
higher recall (87.3% s 46.7%, p < 0.001), while maintaining higher precision compared to GPT-4o mini (94.2% vs 71.2%,
p<0.001). For predicting OA severity, GPT-4o outperformed GPT-4o mini across all prompt strategies (best accuracy:
98.1% vs 68.7%). Surgeons found it easier to extract information and gave more preference to LLM-generated reports
over the original reports (both p < 0.001) while spending less time on each report (51.27 � 9.41 vs 87.42 � 20.26 s,
p<0.001).
Conclusion GPT-4o generated expert multi-feature, WORMS-based reports from original free-text knee MRI reports.
GPT-4o with COT achieved high accuracy in categorizing OA severity. Surgeons reported greater preference and
higher efficiency when using LLM-generated reports.
Critical relevance statement The perfect performance of generating WORMS-based reports and the high efficiency
and ease of use suggest that integrating LLMs into clinical workflows could greatly enhance productivity and alleviate
the documentation burden faced by clinicians in knee OA.",1,predicting osteoarthritis (OA) severity for the knee
2401.0005,"VL-OrdinalFormer: Vision�Language Guided Ordinal
Transformers for Interpretable Knee Osteoarthritis

Grading","Knee osteoarthritis (KOA) is a leading cause of disability worldwide, and

accurate severity assessment using the Kellgren�Lawrence (KL) grading sys-
tem is critical for clinical decision-making. However, radiographic distinc-
tions between early disease stages, particularly KL1 and KL2, are subtle and

frequently lead to inter-observer variability among radiologists. To address
these challenges, we propose VL-OrdinalFormer, a vision�language-guided
ordinal learning framework for fully automated KOA grading from knee
radiographs. The proposed method combines a ViT-L/16 backbone with

CORAL-based ordinal regression and a Contrastive Language�Image Pre-
training (CLIP) driven semantic alignment module, allowing the model to

incorporate clinically meaningful textual concepts related to joint space nar-
rowing, osteophyte formation, and subchondral sclerosis. To improve robust-
ness and mitigate overfitting, we employ stratified five-fold cross-validation,

class-aware re-weighting to emphasize challenging intermediate grades, and
test-time augmentation with global threshold optimization. Experiments
conducted on the publicly available OAI kneeKL224 dataset demonstrate

that VL-OrdinalFormer achieves state-of-the-art performance, outperform-
ing CNN and ViT baselines in terms of macro F1-score and overall accuracy.

Notably, the proposed framework yields substantial performance gains for
KL1 and KL2 without compromising classification accuracy for mild or severe

cases. In addition, interpretability analyses using Grad-CAM and CLIP sim-
ilarity maps confirm that the model consistently attends to clinically relevant

anatomical regions. These results highlight the potential of vision�language-
aligned ordinal transformers as reliable and interpretable tools for KOA grad-
arXiv:2601.00879v1 [cs.CV] 31 Dec 2025

ing and disease progression assessment in routine radiological practice. Code
is available at: https://github.com/Zahid672/kneeKL224
Keywords: Knee osteoarthritis; Kellgren-Lawrence grading; Vision
Transformer; Ordinal regression; Vision-language modeling.",4,"VLM +  Knee Osteoarthritis
"
2401.0006,CXRAgent: Director-Orchestrated Multi-Stage Reasoning for Chest X-Ray Interpretation,"Abstract�Chest X-ray (CXR) plays a pivotal role in clinical
diagnosis, and a variety of task-specific and foundation models

have been developed for automatic CXR interpretation. How-
ever, these models often struggle to adapt to new diagnostic

tasks and complex reasoning scenarios. Recently, LLM-based
agent models have emerged as a promising paradigm for CXR
analysis, enhancing model�s capability through tool coordination,
multi-step reasoning, and team collaboration, etc. However,
existing agents often rely on a single diagnostic pipeline and
lack mechanisms for assessing tools� reliability, limiting their
adaptability and credibility. To this end, we propose CXRAgent, a
director-orchestrated, multi-stage agent for CXR interpretation,
where a central director coordinates the following stages: (1)
Tool Invocation: The agent strategically orchestrates a set of
CXR-analysis tools, with outputs normalized and verified by
the Evidence-driven Validator (EDV), which grounds diagnostic
outputs with visual evidence to support reliable downstream
diagnosis; (2) Diagnostic Planning: Guided by task requirements

and intermediate findings, the agent formulates a targeted di-
agnostic plan. It then assembles an expert team accordingly,

defining member roles and coordinating their interactions to
enable adaptive and collaborative reasoning; (3) Collaborative
Decision-making: The agent integrates insights from the expert
team with accumulated contextual memories, synthesizing them
into an evidence-backed diagnostic conclusion. Experiments on
various CXR interpretation tasks show that CXRAgent delivers
strong performance, providing visual evidence and generalizes
well to clinical tasks of different complexity. Code and data are
valuable at this link.
Index Terms�Chest X-ray interpretation, medical agent, large
multimodal model, multi-stage reasoning.",5,"X-ray interpretation, medical agent, large multimodal model, multi-stage reasoning."
